track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
0hCB0YR03f6AmQaHbwWDe8,Whole Lotta Love - 1990 Remaster,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,70lQYZtypdCALtFVlQAcvx,333893,1969-10-22,77,0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,0hCB0YR03f6AmQaHbwWDe8,0hCB0YR03f6AmQaHbwWDe8
2aoo2jlRnM3A0NyLQqMN2f,All Along the Watchtower,776Uo845nYHJpNaStv1Ds4,Jimi Hendrix,5z090LQztiqh13wYspQvKQ,240800,1968-10-25,78,0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,2aoo2jlRnM3A0NyLQqMN2f,2aoo2jlRnM3A0NyLQqMN2f
08mG3Y1vljYA6bvDt4Wqkj,Back In Black,711MCceyCBcFnzjGY4Q7Un,AC/DC,6mUdeDZCsExyJLMdAfDuwh,255493,1980-07-25,84,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,08mG3Y1vljYA6bvDt4Wqkj,08mG3Y1vljYA6bvDt4Wqkj
1RJeiAIwR9pZBgJA8ndZLL,"Paint It, Black - Mono",22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,5nKpMsduwp5xqCKq2IbSKv,204480,1966-01-01,69,0.505,0.836,5,-7.384,0,0.101,0.0103,0.0771,0.295,0.764,159.669,1RJeiAIwR9pZBgJA8ndZLL,1RJeiAIwR9pZBgJA8ndZLL
66lOpKgTyFjOrac4S1s94g,Rebel Rebel - 1999 Remaster,0oSGxfWSnnOXhD2fKuz2Gy,David Bowie,6JxxRxzjsOTtKVie29FTt2,269360,1974-04-24,0,0.676,0.92,9,-7.96,1,0.0435,0.00101,8.65e-06,0.248,0.624,126.341,66lOpKgTyFjOrac4S1s94g,66lOpKgTyFjOrac4S1s94g
2EqlS6tkEnglzr7tkKAAYD,Come Together - Remastered 2009,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,0ETFjACtuP2ADo6LFhL6HN,259946,1969-09-26,78,0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007,2EqlS6tkEnglzr7tkKAAYD,2EqlS6tkEnglzr7tkKAAYD
39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,3RGLhK1IP9jnYFH4BRFJBS,The Clash,1ZH5g1RDq3GY1OvyD0w0s2,188986,1982,79,0.742,0.833,2,-6.463,1,0.115,0.079,0.0,0.384,0.816,113.375,39shmbIHICJ2Wxnk1fPSdz,39shmbIHICJ2Wxnk1fPSdz
2KmEgiY8fQs0G6WNxtzQKr,Baba O'Riley,67ea9eGLXYMsO2eYQRui3w,The Who,5tqJNAjU163MfKLIP6DtYu,300400,1971-08-14,0,0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,2KmEgiY8fQs0G6WNxtzQKr,2KmEgiY8fQs0G6WNxtzQKr
24NwBd5vZ2CK8VOQVnqdxr,Sweet Emotion,7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,36IxIOGEBAXVozDSiVs09B,274133,1975-04-08,75,0.38,0.76,9,-10.961,1,0.0378,0.00298,0.0294,0.104,0.491,99.437,24NwBd5vZ2CK8VOQVnqdxr,24NwBd5vZ2CK8VOQVnqdxr
57JVGBtBLCfHw2muk5416J,Another One Bites The Dust - Remastered 2011,1dfeR4HaWDbWqFHLkxsg1d,Queen,6wPXUmYJ9mOWrKlLzZ5cCa,214653,1980-06-27,73,0.933,0.528,5,-6.472,0,0.162,0.112,0.329,0.163,0.756,109.975,57JVGBtBLCfHw2muk5416J,57JVGBtBLCfHw2muk5416J
