track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,82,184560,"['3v6Ji4uoWtKRkhuDUaxi9n', '1OAjDaKgg00KCUYqDe68un']","['Dynoro', ""Gigi D'Agostino""]",2,4GzQTkoq34jVw9Js0dYxSb,Astronomia Meme | Dancing Funeral Meme | Vicetone & Tony Igy Astronomia
5bLYTndZBHgOzc6pzb8VBb,Ooh Aah,52,161216,2xe5h8nbHc1yYGKUVL8zce,Púr Múdd,1,4GzQTkoq34jVw9Js0dYxSb,Astronomia Meme | Dancing Funeral Meme | Vicetone & Tony Igy Astronomia
2TPPeayannCIxAcfbYKClP,I Would,31,184783,"['6Arl3j3AWhEhirLx3kCyJe', '3tNfCak31ds75TVqS3wEIL']","['CHASELAVISH', 'Zeper']",2,4GzQTkoq34jVw9Js0dYxSb,Astronomia Meme | Dancing Funeral Meme | Vicetone & Tony Igy Astronomia
4eYkf5680GiSIw4WpYOQxX,Nextel,47,123840,0KdM0f9BzAkPzHFxxnn2tS,GT_Ofice,1,4GzQTkoq34jVw9Js0dYxSb,Astronomia Meme | Dancing Funeral Meme | Vicetone & Tony Igy Astronomia
6TnWWh46UZccEWwC51QkBG,Blurry,35,206333,7GUUdfsMChpl10R2BkJEo4,Chris Waters,1,4GzQTkoq34jVw9Js0dYxSb,Astronomia Meme | Dancing Funeral Meme | Vicetone & Tony Igy Astronomia
65M9PAYF23vSHVmyvuPsPq,Paradise,48,143538,0ODkUSyC9qhputGEbAIf6p,Erik Frank,1,4GzQTkoq34jVw9Js0dYxSb,Astronomia Meme | Dancing Funeral Meme | Vicetone & Tony Igy Astronomia
5bigED7Z281jUldnisPTXT,Understand,28,170232,6ZIZTVBwbAcLVOfcsSsb9Y,Max Valentine,1,4GzQTkoq34jVw9Js0dYxSb,Astronomia Meme | Dancing Funeral Meme | Vicetone & Tony Igy Astronomia
7FNf2WOOaJ1Bx6wrjqhCba,Cruel,54,191612,"['3PlRvQnVE3XAbtHUNc4nic', '09JJrjk6Mr5ZYwk1mk7aEb']","['GATTÜSO', 'Love Harder']",2,4GzQTkoq34jVw9Js0dYxSb,Astronomia Meme | Dancing Funeral Meme | Vicetone & Tony Igy Astronomia
06na1NBXCSWEALelDgAaat,Impulso,28,175170,5KsWVSMrvgdagOI298HEil,JAB the ZORRO,1,4GzQTkoq34jVw9Js0dYxSb,Astronomia Meme | Dancing Funeral Meme | Vicetone & Tony Igy Astronomia
3h7Ftxcsch5Vf9gudChXCR,Yeehaw,47,146433,"['09JJrjk6Mr5ZYwk1mk7aEb', '5OCZWZ399lBKgxBxE8cjRM', '4aOOnr90lZUhyGcEgmtgcl']","['Love Harder', 'Willie Jones', 'Rynn']",3,4GzQTkoq34jVw9Js0dYxSb,Astronomia Meme | Dancing Funeral Meme | Vicetone & Tony Igy Astronomia
0ThNoAuEAIFmlfvXOrMBoQ,built 2 break,18,164347,1ePVqRHwkjRf7y2XRyHE2p,Free Arlo,1,4GzQTkoq34jVw9Js0dYxSb,Astronomia Meme | Dancing Funeral Meme | Vicetone & Tony Igy Astronomia
0Va6dsBONDywXUn8AmFIVu,Marshmallow Skies,14,238242,0CqHBuj2OQsfCa7wCtkdOU,Mört,1,4GzQTkoq34jVw9Js0dYxSb,Astronomia Meme | Dancing Funeral Meme | Vicetone & Tony Igy Astronomia
3b3ZXpFFDAj6mZUbYxoyEH,Свет фиолетовый,47,222130,1m1sh0cJhGCcL9osqdAePj,Саша Эскобар,1,4GzQTkoq34jVw9Js0dYxSb,Astronomia Meme | Dancing Funeral Meme | Vicetone & Tony Igy Astronomia
7iP1pchDLsqLdgQw91gBgd,Chase For Your Love,27,173449,4d6YHAU5cDfBZzoVOujzsX,Askling,1,4GzQTkoq34jVw9Js0dYxSb,Astronomia Meme | Dancing Funeral Meme | Vicetone & Tony Igy Astronomia
3YykTavXvEYywYJFZIngbT,Told You So,57,146355,"['6lB8vOoI4DRrrVxXwuV19c', '1Zfvu3KDmISwHwOuU8eXH5']","['Mike Perry', 'Orange Villa']",2,4GzQTkoq34jVw9Js0dYxSb,Astronomia Meme | Dancing Funeral Meme | Vicetone & Tony Igy Astronomia
1DwdL6KG9Sl6ZmD4Ikvh6k,On Me,53,177281,2pobDPwk9fuzujz5YKKAVB,Jada,1,4GzQTkoq34jVw9Js0dYxSb,Astronomia Meme | Dancing Funeral Meme | Vicetone & Tony Igy Astronomia
7bgz8auLPA7PesBhDHY1vW,By Your Side,59,155121,6lB8vOoI4DRrrVxXwuV19c,Mike Perry,1,4GzQTkoq34jVw9Js0dYxSb,Astronomia Meme | Dancing Funeral Meme | Vicetone & Tony Igy Astronomia
6Larp0dGABAJJXNBubtRJZ,Till I'm Sorry,34,146969,"['1piphEAgIy2kiwih2Q9zbF', '7mE37XRULrIzHfg9OWmIud']","['Belmin Kuburas', 'Noubya']",2,4GzQTkoq34jVw9Js0dYxSb,Astronomia Meme | Dancing Funeral Meme | Vicetone & Tony Igy Astronomia
0VTtFWgyu9nlCFbplRtGdH,Moves,51,139842,"['3GtCKJA4SkOxN65MWjm82R', '1vu5vqo8KfwCUGVs7uX24r', '6lB8vOoI4DRrrVxXwuV19c']","['Hot Shade', 'Mika Zibanejad', 'Mike Perry']",3,4GzQTkoq34jVw9Js0dYxSb,Astronomia Meme | Dancing Funeral Meme | Vicetone & Tony Igy Astronomia
