track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
0hCB0YR03f6AmQaHbwWDe8,Whole Lotta Love - 1990 Remaster,77,333893,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
2aoo2jlRnM3A0NyLQqMN2f,All Along the Watchtower,78,240800,776Uo845nYHJpNaStv1Ds4,Jimi Hendrix,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
08mG3Y1vljYA6bvDt4Wqkj,Back In Black,84,255493,711MCceyCBcFnzjGY4Q7Un,AC/DC,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
1RJeiAIwR9pZBgJA8ndZLL,"Paint It, Black - Mono",69,204480,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
66lOpKgTyFjOrac4S1s94g,Rebel Rebel - 1999 Remaster,0,269360,0oSGxfWSnnOXhD2fKuz2Gy,David Bowie,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
2EqlS6tkEnglzr7tkKAAYD,Come Together - Remastered 2009,78,259946,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,79,188986,3RGLhK1IP9jnYFH4BRFJBS,The Clash,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
2KmEgiY8fQs0G6WNxtzQKr,Baba O'Riley,0,300400,67ea9eGLXYMsO2eYQRui3w,The Who,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
24NwBd5vZ2CK8VOQVnqdxr,Sweet Emotion,75,274133,7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
57JVGBtBLCfHw2muk5416J,Another One Bites The Dust - Remastered 2011,73,214653,1dfeR4HaWDbWqFHLkxsg1d,Queen,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
