track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
6CUTYJQKcDwcQ63EulINUo,Officially Missing You,0le01dl1WllSHhjEXRl4in,Tamia,43QuYbSfbTjcsghwJyUnyP,242466,2004-04-05,60,0.476,0.407,4,-9.239,0,0.0368,0.247,0.0,0.144,0.226,178.258,6CUTYJQKcDwcQ63EulINUo,6CUTYJQKcDwcQ63EulINUo
0EQuu6hyNACWI7LT7N5pRv,U Should've Known Better,6nzxy2wXs6tLgzEtqOkEi2,Monica,4lSQkGgFffaUOd22Yrc25v,257786,2003,58,0.753,0.516,6,-5.164,1,0.0308,0.191,0.0,0.275,0.826,122.019,0EQuu6hyNACWI7LT7N5pRv,0EQuu6hyNACWI7LT7N5pRv
5qhlC4Rzals34zxovrPzKp,Ice Box,0f5nVCcR06GX8Qikz0COtT,Omarion,2dGxINFRaJEwDRXohf5gTE,256426,2006-12-26,61,0.775,0.731,8,-5.446,1,0.134,0.189,0.0,0.129,0.821,131.105,5qhlC4Rzals34zxovrPzKp,5qhlC4Rzals34zxovrPzKp
1yTfczdv9qGCfJpZF3y4yQ,Shoulda Let You Go,1vfezMIyCr4XUdYRaKIKi3,Keyshia Cole,7mdy09EO4q6F9VWBtXDDjK,220866,2007-01-01,53,0.725,0.594,2,-5.243,1,0.0496,0.0939,0.0,0.22,0.25,91.794,1yTfczdv9qGCfJpZF3y4yQ,1yTfczdv9qGCfJpZF3y4yQ
5Y0E3dOeynKuLDAXu0t0Bg,Oops (Oh My) [feat. Missy Elliott],6zDBeei6hHRiZdAJ6zoTCo,Tweet,7uAkY4ERL5Y0BopRxmd3AX,237800,2002-04-02,61,0.66,0.536,10,-8.786,0,0.29,0.233,0.00669,0.111,0.775,159.963,5Y0E3dOeynKuLDAXu0t0Bg,5Y0E3dOeynKuLDAXu0t0Bg
6gA3b0M69d0SzuZqWtZXWD,Since You've Been Gone,7dpKVB4mK3ufNdZOpMKtrd,DAY26,6nNMXP0XTdOCMaV23JmNM2,250880,2008-03-24,54,0.516,0.69,6,-6.944,1,0.0436,0.165,0.0,0.126,0.398,129.833,6gA3b0M69d0SzuZqWtZXWD,6gA3b0M69d0SzuZqWtZXWD
0Ri0LzOMJmqi9HGZE5cRYV,Need U Bad,7gSjFKpVmDgC2MMsnN8CYq,Jazmine Sullivan,2V99Z0aZgSK6XTbh19UYTU,257426,2008-09-23,61,0.529,0.659,7,-5.318,1,0.0629,0.0232,0.0,0.114,0.36,138.196,0Ri0LzOMJmqi9HGZE5cRYV,0Ri0LzOMJmqi9HGZE5cRYV
0IvTGWbNnCiUi9IOF7ye3F,I Like It,4p07QU02SrLsaORo25h2Lg,Sammie,5q8AaOLpjlUQTn9KaQnI0f,251040,2000-01-01,58,0.826,0.656,9,-8.529,1,0.0617,0.0101,0.000113,0.0272,0.852,129.963,0IvTGWbNnCiUi9IOF7ye3F,0IvTGWbNnCiUi9IOF7ye3F
6BIcjFZIVDZxNAcofRFPx4,So Gone,6nzxy2wXs6tLgzEtqOkEi2,Monica,4lSQkGgFffaUOd22Yrc25v,242773,2003,68,0.618,0.552,8,-6.863,1,0.0981,0.176,0.0,0.252,0.586,81.975,6BIcjFZIVDZxNAcofRFPx4,6BIcjFZIVDZxNAcofRFPx4
174rZBKJAqD10VBnOjlQQ3,How Do I Breathe,20s0P9QLxGqKuCsGwFsp7w,Mario,23heJEeNSmPytB3UpSJ3iD,216893,2007-12-11,70,0.684,0.455,5,-8.216,1,0.0307,0.215,1.08e-06,0.263,0.487,97.956,174rZBKJAqD10VBnOjlQQ3,174rZBKJAqD10VBnOjlQQ3
2RqZFOLOnzVmHUX7ZMcaES,Let It Go,1vfezMIyCr4XUdYRaKIKi3,Keyshia Cole,7mdy09EO4q6F9VWBtXDDjK,238333,2007-01-01,68,0.806,0.721,10,-5.167,0,0.215,0.197,0.0,0.209,0.781,94.967,2RqZFOLOnzVmHUX7ZMcaES,2RqZFOLOnzVmHUX7ZMcaES
5cU50IAoAFF7qFWOtdbEjr,I Need a Girl,2iojnBLj0qIMiKPvVhLnsH,Trey Songz,44jrX3SThj7pFjOzUTLm85,214480,2009-08-31,60,0.602,0.785,7,-6.129,1,0.0578,0.245,0.0,0.19,0.565,84.038,5cU50IAoAFF7qFWOtdbEjr,5cU50IAoAFF7qFWOtdbEjr
1vwUsp52io0AGQ5yv470IC,Take You Down,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,6p5pW2WwgVECsOhrXPAyhI,245933,2007-11-06,69,0.387,0.64,11,-5.817,0,0.081,0.107,0.0,0.319,0.617,59.989,1vwUsp52io0AGQ5yv470IC,1vwUsp52io0AGQ5yv470IC
6CbcdeTQKj0qTaZTt0xkdk,Happy,5rkVyNGXEgeUqKkB5ccK83,Ashanti,5M3BrdaT0TV5SsYsM5PM8X,262226,2002-01-01,63,0.727,0.515,2,-6.553,0,0.0289,0.241,3.74e-06,0.124,0.695,89.488,6CbcdeTQKj0qTaZTt0xkdk,6CbcdeTQKj0qTaZTt0xkdk
4iuNZTcvT9diFySSzVsnVS,When I See U,7xAcVHPiirnUqfdqo0USb1,Fantasia,42DybH3gl3WcfXAQySOEiX,217346,2006-12-09,70,0.569,0.596,8,-6.486,1,0.171,0.457,8.99e-05,0.205,0.757,93.134,4iuNZTcvT9diFySSzVsnVS,4iuNZTcvT9diFySSzVsnVS
3VEZvzr84WVnoorZ4tlBSw,He Can't Love U,7Aq8lpLMSt1Zxu56pe9bmp,Jagged Edge,4tIkdOt2ohTHJ1VptEwNu3,244053,2000-01-18,58,0.721,0.836,8,-3.972,0,0.206,0.112,0.0,0.235,0.508,126.279,3VEZvzr84WVnoorZ4tlBSw,3VEZvzr84WVnoorZ4tlBSw
2aIdVb8v9KTpEZnftkz2mD,Buy U a Drank (Shawty Snappin'),3aQeKQSyrW4qWr35idm0cy,T-Pain,44Z1ZEmOyois0QoAgfUxrD,227960,2007-06-05,75,0.451,0.55,1,-8.137,1,0.262,0.0108,0.0,0.0737,0.594,80.001,2aIdVb8v9KTpEZnftkz2mD,2aIdVb8v9KTpEZnftkz2mD
2QsZVnbWVSjKMXK6K3uRBL,U Remind Me,23zg3TcAtWQy7J6upgbUnj,Usher,6k16WXh4rKyusIoN00rmpi,266893,2001-08-07,73,0.657,0.629,6,-4.938,1,0.0782,0.194,0.0,0.254,0.726,93.985,2QsZVnbWVSjKMXK6K3uRBL,2QsZVnbWVSjKMXK6K3uRBL
1Ug1mV9h5qVSs4rvvnQWux,I Invented Sex (feat. Drake),2iojnBLj0qIMiKPvVhLnsH,Trey Songz,44jrX3SThj7pFjOzUTLm85,247933,2009-08-31,58,0.69,0.76,0,-4.778,1,0.0587,0.0678,0.0,0.184,0.468,89.958,1Ug1mV9h5qVSs4rvvnQWux,1Ug1mV9h5qVSs4rvvnQWux
3wKKkGVn7cVSfgPeYYIiXG,Kiss Kiss (feat. T-Pain),7bXgB6jMjp9ATFy66eO08Z,Chris Brown,6p5pW2WwgVECsOhrXPAyhI,250666,2007-11-06,70,0.729,0.658,10,-3.386,0,0.225,0.0506,0.0,0.0693,0.551,140.043,3wKKkGVn7cVSfgPeYYIiXG,3wKKkGVn7cVSfgPeYYIiXG
3ibKnFDaa3GhpPGlOUj7ff,Let Me Love You,20s0P9QLxGqKuCsGwFsp7w,Mario,7EXstuWka51pNFzEAidEol,256733,2004-09-21,75,0.656,0.578,7,-8.97,0,0.0922,0.235,0.0,0.118,0.556,94.514,3ibKnFDaa3GhpPGlOUj7ff,3ibKnFDaa3GhpPGlOUj7ff
3LmvfNUQtglbTrydsdIqFU,We Belong Together,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,43iBTEWECK7hSnE0p6GgNo,201400,2005-01-01,70,0.837,0.462,0,-7.89,1,0.0601,0.0339,0.0,0.09,0.762,139.986,3LmvfNUQtglbTrydsdIqFU,3LmvfNUQtglbTrydsdIqFU
5HIH7viDwuewZiv6Hs75ys,Where the Party At,7Aq8lpLMSt1Zxu56pe9bmp,Jagged Edge,420v6O5KbT5hZlBzIhWHiH,232560,2001-07-03,56,0.683,0.653,7,-6.344,1,0.201,0.311,1.02e-06,0.0801,0.864,96.905,5HIH7viDwuewZiv6Hs75ys,5HIH7viDwuewZiv6Hs75ys
1Pqv7l6vxjBxd5fx4bWchC,808,1nSRa2YjjFWJLHGKM07oGQ,Blaque,4M3ZR714EWG904OX0XXQbp,306693,1999-05-28,49,0.867,0.42,1,-9.478,1,0.167,0.00328,3.18e-06,0.0887,0.367,121.66,1Pqv7l6vxjBxd5fx4bWchC,1Pqv7l6vxjBxd5fx4bWchC
