playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
4d9BnsOafG3Y64EbIJJWfW,JAZZ INSTRUMENTAL - BOSSA NOVA,285,prueba381,prueba381,3925
3UGwhJHJUUuMkupmqDbALE,Soft Jazz Instrumental,22,robddiaz,robddiaz,3253
37i9dQZF1DX4VsZErMojE8,Subsuelo Jazz Bar,100,spotify,Spotify,2989
6UHVFlw8kGYPP9N25HQrov,Jazz For Work,216,c5pphlzzercy3wzg3rxoqeb65,BGMC Records,2975
37i9dQZF1DX41cLva7hoYQ,Workday Jazz,85,spotify,Spotify,2520
6HhLjsFt1JywDYIbnN7ghQ,Saxophone Jazz,68,c5pphlzzercy3wzg3rxoqeb65,BGMC Records,2463
37i9dQZF1DWW2c0C8Vb2IR,All New Jazz,79,spotify,Spotify,2387
37i9dQZF1DWSSSls9eK29h,Smooth Jazz Classics,60,spotify,Spotify,2126
4T0R5nCnC3m6yZZWQ045pt,Coffee Shop Jazz,423,gilmour1962,JOHN ARNOLD,2104
3Bq6Lo4gnqelM6Q9ogblmt,Piano Jazz,886,ruw81ukowvfvjubi81t0zqupt,Overmoon,639
1idicUefIVcVQIDqkExrSW,Jazz Rythms (Greenhills) 👌,223,12151019285,Markoptions Manansala,618
3OSqLt9RzAQDBwFf9AVQmn,Jazz Fusion 80's by JB,325,12141779805,Joseph Martin Borromeo,477
14TYbeYJ0twa757h9tPmLw,Jazz Rhythms / Rhythm and Booze / East St. Louis / Reasons,179,docona02,Ona Fajardo,425
4uos9MJcD8i0xYSIBB82wl,Jazz Fusion 80s,437,rick.modina1966,rick.modina1966,336
4wR13G3nosiTp1zQ1dgy9g,JAZZ×文学,602,byh14733,Kensuke Niwa,290
2LxzS2j8dKHmQiRJRWIpy8,Jazz Cristiano 2020,525,12131000065,José Manuel González,74
2DywN5YVXVXwFVkz70OoQG,Jazzercise 2020 C4.1,14,najn6zdvy71e16pcfhfwstc77,Kmcdiffitt,45
