track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0VTtFWgyu9nlCFbplRtGdH,Moves,3GtCKJA4SkOxN65MWjm82R,Hot Shade,3uOz0OJM4QLL4RiDMqzgoI,139842,2019-05-17,51,0.857,0.718,4,-4.272,0,0.0439,0.155,2.54e-06,0.0868,0.703,119.976
09sKH3nKtVZ6ovDReYRAu0,Coming Home,10hGPIDZi33LRaYRIq3Bh4,Dimitri Vangelis & Wyman,04Yv7bRuTjFnL7D949QUOO,207998,2020-05-08,63,0.614,0.921,2,-4.199,1,0.0625,0.0205,9.67e-06,0.119,0.427,127.964
5aBnAR8jYV4BwQfVsoGlZ1,Feels Like The First Time,7iHTJPF1k1e9SF1BwqbAe0,NATIIVE,0WJDJw0M757bfk2lqU7NFE,155240,2019-09-19,24,0.647,0.85,9,-3.989,0,0.0445,0.415,1.46e-06,0.144,0.426,82.989
1Jo3yW1tWC4JSjGS2s2DPy,MAC & CHEESE,6U1dV7aL68N7Gb0Naq34V5,REI AMI,72q53fTM3p9OhbJ1frSxWF,135344,2020-09-25,53,0.896,0.551,6,-8.844,0,0.176,0.0568,0.114,0.251,0.63,122.058
4O9Wk3mNNlHpiee9nPIOnp,Gimme More,7AHuMxR95Sx5O1uJdfsCkN,ALEX IVA,3v1RvgNovPe24kfiAgSVjr,130560,2019-11-22,26,0.908,0.818,9,-4.585,0,0.0926,0.0203,0.00279,0.256,0.692,125.006
2iynfSCC05kwh4emMeD678,Ooh La La,6diDsPkeLxmF1r5vKnfOli,Jay Ham,2JJKflv2JqZr7yg4uiYxvA,142000,2020-08-07,41,0.626,0.727,1,-5.116,1,0.062,0.135,0.0,0.269,0.749,119.995
4LoZz2yV2CZVsv72qUWPGE,Cold Silence,0BjETJzPIGbffoLiFEr7xR,F.E.E.N.S F.Orever E.Atin E.Very N.Ight,75yHhaXxf4V7YaZrwNbFVi,234705,2019-07-12,4,0.646,0.5,0,-11.392,0,0.247,0.437,0.0,0.0922,0.476,157.966
1SFtCwxicHJBJHDApJbuIQ,Months,3BSndMDvNNBCHSVjvxNqmV,Thomas Will,3m2dVVE3YaSH14uwJJtnRO,213333,2020-09-25,33,0.744,0.745,11,-6.439,0,0.0397,0.00811,0.00133,0.527,0.456,126.037
1CvRmHjxIbK29B7TTlcphp,Bonita,09apxys93rFK3x28ufjH6w,NEVRMIND,5dYnTfVvQlh6YgxedpnEwN,183820,2020-08-14,44,0.833,0.597,5,-6.215,0,0.0346,0.0269,0.000468,0.126,0.722,125.02
5xYMG5oqvAaGf3lVnBJXkn,aUTHENTIC,5NSMZJM30NVA892doS3Ym7,FALL or FLIGHT,0H2B8xocwsdvdQcfcBYZNN,209230,2020-03-20,13,0.519,0.508,2,-8.93,0,0.0773,0.251,4.21e-06,0.108,0.288,117.052
4bDT25mQ0yD2xPtYwUAkb5,Move Like That,5IfsB6abXjZRdGpA21RuXP,Galactic Brothers,3GSeqETvRTZd3BbnSb9r0q,157090,2020-03-20,24,0.684,0.841,10,-4.742,0,0.0583,0.165,0.786,0.333,0.581,110.033
02itaCXOdC54J0ISjqqFAp,All Around The World (La La La),6cEuCEZu7PAE9ZSzLLc2oQ,R3HAB,0Y59j5oCvwTM2aNyPb6YpJ,147840,2019-04-05,78,0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948
5ADfTL3FKUfkHiw37acSI1,Closet,3tNfCak31ds75TVqS3wEIL,Zeper,0Jtoxmy3qtXHy4sEfNh8jl,207985,2019-12-13,39,0.677,0.622,4,-6.473,1,0.133,0.277,0.000127,0.103,0.195,102.979
0upFohXrGxIIAjyaJmCkMU,"Tokyo Drift (Fast & Furious) - From ""The Fast And The Furious: Tokyo Drift"" Soundtrack",7HBai5xymOxIWoMWvWshe1,Teriyaki Boyz,5SXTscj33KnBUpDyIsZTEf,255946,2006-01-01,69,0.757,0.892,6,-5.321,1,0.124,0.178,4.19e-05,0.0719,0.936,127.014
6ho0GyrWZN3mhi9zVRW7xi,Losing It,1VJ0briNOlXRtJUAzoUJdt,FISHER,143cxYCazoiNfviHRmxkdv,248035,2018-07-13,76,0.76,0.964,2,-5.844,1,0.0577,0.00181,0.703,0.0975,0.643,125.003
6vsH0gyQuXvZpVuwmP8Ksb,Send Your Love Away,3tNfCak31ds75TVqS3wEIL,Zeper,43rdZP9hUYGYfokrlwaBzx,179711,2020-01-31,26,0.752,0.717,0,-8.021,1,0.0598,0.295,0.0,0.0996,0.561,119.932
0WSjVLITbxV6kVXndziQDm,Drop That Low (When I Dip),2vVNxGBvKRQMWwI5c8KmYh,Tujamo,3ijcuTSUg192BerlqA1gxR,159999,2016-04-01,69,0.586,0.896,5,-4.132,0,0.372,0.00945,0.836,0.121,0.103,125.744
1XFHbzTikXks9CsMq4v8Q3,Not So Bad (feat. Emie),47BEc2RoW53owMyxacXWdV,Yves V,3MWQeRDPrBYvDLYIpILm9I,153696,2020-01-03,73,0.74,0.674,11,-4.374,1,0.0476,0.00903,0.238,0.154,0.231,126.017
7wAJcDFmXnu7hqrPVB96Y3,Adrenalina,7glBRgSuMYXGUUiTbMzoif,Laura West,0UwMBwIDRGncg0pRzA9yi2,225185,2020-05-08,28,0.576,0.683,5,-5.445,0,0.042,0.0565,0.0,0.111,0.403,161.978
1DFD5Fotzgn6yYXkYsKiGs,Piece Of Your Heart,0xRXCcSX89eobfrshSVdyu,MEDUZA,0cqRGWD3uc5Lggpducn5nD,152913,2019-02-01,82,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08
3oN9prOZJ8jR6rFP4YMJF9,eoh,23xCxwjg6Bqwm7rh6n9Kjd,Olympis,0gJOTfFxUvUkqlHcgtEN4z,155520,2019-08-16,67,0.707,0.585,5,-11.024,1,0.0701,0.145,0.00485,0.257,0.277,125.161
5wgXQj5t11qtRLX8cjiY3n,El Juego,7qWNbGsqKxguxCzk3Q7ibn,Ana Nieto,4T9HO8Akd5wlBv0utogZt7,188500,2020-05-01,22,0.497,0.535,0,-11.057,1,0.283,0.507,0.0,0.123,0.313,93.942
40vCMTDaDwwpf7DyBlmgEj,Menage A Trois,12A83CWwFiyXy90ScLWPIe,LIZOT,4MpNQl6p23pbhKpvrv8EPo,168508,2019-12-13,67,0.672,0.896,10,-5.278,1,0.0657,0.122,0.00418,0.0608,0.483,123.941
4plZcRZD9zaDKJQsLK77aX,The One That I Want,3tNfCak31ds75TVqS3wEIL,Zeper,6wkyl9Uk2jurIYLSexEEyc,178620,2019-01-04,23,0.759,0.621,7,-5.237,1,0.0399,0.496,2.49e-06,0.0811,0.265,110.102
3mruwwpKfG5NYmnEr6O5Dw,Post Malone (feat. RANI) - VIZE Remix,20gsENnposVs2I4rQ5kvrf,Sam Feldt,2idnYaYkAG2xDus7xk1yNZ,154838,2019-09-12,73,0.687,0.887,7,-4.97,1,0.0564,0.00438,0.00629,0.172,0.345,124.017
4tknhO5RmXIxnpoipMKBmG,Monster - Robin Schulz Remix,0TKFPt9w0AAEnhB9bd0pLy,LUM!X,67PtnkGcMlHCa1RcYSzleO,165947,2019-08-16,72,0.475,0.815,8,-6.068,0,0.124,0.133,0.0,0.11,0.48,126.164
3zn92pqRvQYEEXQNtF4ZJv,Horror Movie,4QLCiQ2jVBj84eOf89ajZd,zherony,5lEFyeFQbVsh0oZsSloKQp,180085,2019-08-02,23,0.502,0.516,1,-12.069,0,0.168,0.0138,0.00179,0.086,0.342,176.036
5QIKZWOHDPbGh5EpSqCXMG,All the Things,1aQwKFn00nswXRDUDipm0K,Gaullin,7fhzGoeqXEdVWVdxymGBHJ,174745,2018-02-07,66,0.776,0.634,7,-10.345,1,0.106,0.0102,0.168,0.119,0.475,125.043
7sYAS4CpbV90oSemgaEQat,On & On,0NGAZxHanS9e0iNHpR8f2W,Alok,2a9AGivapFES2j2ElI3odn,147026,2019-11-22,75,0.747,0.776,10,-5.898,0,0.0722,0.0233,1.38e-05,0.761,0.67,125.07
3H7ihDc1dqLriiWXwsc2po,Breaking Me,0u6GtibW46tFX7koQ6uNJZ,Topic,3nBQlhUvErkw8DVpF47WAn,166793,2019-12-19,94,0.789,0.72,8,-5.652,0,0.218,0.223,0.0,0.129,0.664,122.031
0BnC161EPTogzrXvNC98zB,Piece of Me,6y98wK2RN9CyNuuN1l2icf,Amero,0T27mPM5jNmDj2IWSyFqLp,160800,2020-07-10,36,0.753,0.944,10,-7.487,0,0.305,0.0942,0.000631,0.273,0.266,125.027
5p8bxxIZRJdzg4hsI1eBQV,Bad For You,7oHCZXKjXXta7qCFc0BAIX,Brennan,39lEjuDbMw2rtkQGIb5zyU,197908,2020-07-24,29,0.598,0.712,9,-5.868,0,0.0992,0.031,1.95e-05,0.124,0.782,103.688
7N06jo3EnV792VFaG8vuW6,Close Your Eyes,4bL2B6hmLlMWnUEZnorEtG,Felix Jaehn,0PhTTyRWpJVlg4F5RC0xmE,160794,2019-11-22,78,0.818,0.823,11,-3.563,0,0.2,0.0663,1.17e-05,0.133,0.52,128.136
4AqN8IdKCfItCSbuaFch81,Thank You [Not So Bad],09agIJMxCD2k87ys9Al0f0,VIZE,6alQudvAYx6VZMye1BFgFK,197963,2020-02-07,76,0.656,0.89,5,-4.981,0,0.187,0.201,1.99e-06,0.101,0.268,100.037
27fr6L8dpkVzGzUO1ONgkS,LOVE,1Hr5Adjkxh6ihfsoahOY38,X Lovers,6NfxTfFn8hNpWsGswbYYVH,155517,2020-08-07,43,0.716,0.42,8,-4.603,1,0.102,0.304,0.0,0.0572,0.474,150.02
0ou367q5bmco9pZNxq80iD,Day 'N' Nite - Martin Jensen Edit,5v3JgLiZtNnw6ablRjjNKK,Stefy De Cicco,4edGK565BSJL2C8wwZAnDh,166200,2020-01-17,70,0.766,0.849,11,-5.42,0,0.0361,0.0611,0.0809,0.0536,0.589,125.033
3MR5Lnhd6uCIgLXSK7nmyX,Pa' La Cultura,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,3lafienEVOSKlWKwZY1vwu,235603,2020-08-05,72,0.755,0.854,9,-4.288,0,0.0517,0.0249,1.58e-05,0.389,0.588,105.038
6UEEDEPZQ73udCKnxDC1fF,Miss Seattle,6XKMorni4TOnDjtK1UTMhj,Will Dailey,3NV3rWW95CLpBwgAqpnRe0,216964,2020-07-30,35,0.78,0.403,8,-10.507,1,0.0343,0.0626,0.0858,0.166,0.709,111.992
0xUvi7wldroBzaZCengPa5,24 (feat. Lil Baby),3Rx4PJ7SP6unkOk5elPUK7,Money Man,3raeLaYMyhfb67HgnnNrsg,182857,2020-08-21,70,0.868,0.638,2,-7.746,1,0.0736,0.146,0.0565,0.0931,0.459,126.03
5yMXWpfy18suYCqYukFyPV,Camino del Sur,634n3stmOXuue7AsDg7FM4,Sandjake,3vEcWb2thOqVcph3EEnOa7,185638,2020-07-24,41,0.61,0.926,6,-7.593,0,0.0454,0.00144,0.181,0.27,0.606,125.003
1mwCSKK0YRDsgnj2VwyZSU,Butterfly Kisses,4PJHDzdFoQcklrWU18QdsU,Bob Carlisle,164ZlumFzgmF1ahd7gzyDn,340600,1995-06-15,51,0.386,0.364,0,-9.624,1,0.032,0.543,0.0,0.347,0.105,81.895
